IN | IN = -3.70274
'' | JJ = -4.12862
POS | JJ = -6.64553
( | JJ = -5.30024
VBN | JJ = -3.46868
NNS | JJ = -4.29704
VBP | JJ = -5.69814
, | JJ = -2.86078
CC | JJ = -2.8538
) | JJ = -5.34443
VBD | JJ = -5.48717
RB | JJ = -2.30564
TO | JJ = -2.22717
. | JJ = -3.98929
VBZ | JJ = -5.97896
NNPS | JJ = -7.22774
PRP | JJ = -5.33164
PRP$ | JJ = -4.927
VB | JJ = -13.2555
JJ | JJ = -3.41986
MD | JJ = -5.62429
VBG | JJ = -4.56426
RBR | JJ = -3.29335
: | JJ = -4.70841
WP | JJ = -5.8163
WDT | JJ = -6.81367
JJR | JJ = -4.00881
PDT | JJ = -5.94328
RBS | JJ = -4.43124
WRB | JJ = -4.49455
JJS | JJ = -4.74708
$ | JJ = -5.89416
RP | JJ = -4.70404
FW | JJ = -7.08127
EX | JJ = -6.62921
SYM | JJ = -7.55568
# | JJ = -7.71676
LS | JJ = -7.44395
UH | JJ = -7.39545
WP$ | JJ = -6.41697
IN | MD = -3.00745
DT | MD = -6.97839
NNP | MD = -3.13519
CD | MD = -7.98406
NN | MD = -2.23749
`` | MD = -4.60281
'' | MD = -4.55269
POS | MD = -12.2127
( | MD = -8.85603
VBN | MD = -3.97766
NNS | MD = -2.8589
VBP | MD = -5.67932
, | MD = -3.08325
CC | MD = -4.38866
) | MD = -8.87632
VBD | MD = -5.02082
RB | MD = -3.12392
TO | MD = -4.03198
. | MD = -1.9936
VBZ | MD = -4.79343
NNPS | MD = -6.74094
PRP | MD = -2.55502
PRP$ | MD = -12.9282
VB | MD = -1.24079
JJ | MD = -5.84925
MD | MD = -5.11345
VBG | MD = -4.5369
RBR | MD = -8.07027
: | MD = -6.10249
WP | MD = -4.76999
WDT | MD = -4.06605
JJR | MD = -7.97676
PDT | MD = -11.2972
RBS | MD = -10.082
WRB | MD = -5.49903
JJS | MD = -8.97762
$ | MD = -6.18414
RP | MD = -5.89341
FW | MD = -10.0744
EX | MD = -6.07689
SYM | MD = -11.1245
# | MD = -9.95141
LS | MD = -10.7946
UH | MD = -10.432
WP$ | MD = -11.6664
IN | VBG = -1.37519
DT | VBG = -4.72655
NNP | VBG = -3.84535
CD | VBG = -5.86902
NN | VBG = -1.52058
`` | VBG = -5.29863
'' | VBG = -5.60438
POS | VBG = -11.5225
( | VBG = -9.56638
VBN | VBG = -3.56576
NNS | VBG = -2.02937
VBP | VBG = -5.43222
, | VBG = -3.82568
CC | VBG = -4.27848
) | VBG = -9.62891
VBD | VBG = -4.91972
RB | VBG = -2.70839
TO | VBG = -2.38161
. | VBG = -5.35181
VBZ | VBG = -4.97837
NNPS | VBG = -7.87452
PRP | VBG = -4.44049
PRP$ | VBG = -8.88695
VB | VBG = -5.39579
JJ | VBG = -3.86216
MD | VBG = -5.02025
VBG | VBG = -3.83404
RBR | VBG = -5.96581
: | VBG = -6.15115
WP | VBG = -6.27541
WDT | VBG = -6.30399
JJR | VBG = -6.26499
PDT | VBG = -9.71765
RBS | VBG = -8.80749
WRB | VBG = -5.04895
JJS | VBG = -7.08472
$ | VBG = -4.92475
RP | VBG = -4.05965
FW | VBG = -9.99293
EX | VBG = -7.76935
SYM | VBG = -10.9426
# | VBG = -9.9108
LS | VBG = -10.7045
UH | VBG = -10.5908
WP$ | VBG = -10.2947
IN | RBR = -1.27977
DT | RBR = -3.34636
NNP | RBR = -3.10647
CD | RBR = -4.08455
NN | RBR = -1.67889
`` | RBR = -4.96984
'' | RBR = -5.16661
POS | RBR = -8.22358
( | RBR = -7.44362
VBN | RBR = -3.5618
NNS | RBR = -2.91686
VBP | RBR = -5.06276
, | RBR = -2.84669
CC | RBR = -3.28369
) | RBR = -7.49693
VBD | RBR = -4.63882
RB | RBR = -2.88614
TO | RBR = -3.05188
. | RBR = -4.94883
VBZ | RBR = -4.78469
NNPS | RBR = -6.8918
PRP | RBR = -5.32632
PRP$ | RBR = -6.87068
VB | RBR = -10.7906
JJ | RBR = -2.9381
MD | RBR = -5.02809
VBG | RBR = -3.86235
RBR | RBR = -6.07261
: | RBR = -5.36172
WP | RBR = -7.15445
WDT | RBR = -6.96567
JJR | RBR = -5.50543
PDT | RBR = -8.40407
RBS | RBR = -8.28018
WRB | RBR = -6.43335
JJS | RBR = -6.24834
$ | RBR = -5.21961
RP | RBR = -6.43963
FW | RBR = -9.05314
EX | RBR = -8.374
SYM | RBR = -10.4882
# | RBR = -9.7408
LS | RBR = -10.3405
UH | RBR = -10.1671
WP$ | RBR = -9.21771
IN | : = -3.02839
DT | : = -3.35432
NNP | : = -3.35093
CD | : = -3.45828
NN | : = -3.22057
`` | : = -3.73861
'' | : = -3.74258
POS | : = -4.11058
( | : = -4.01486
VBN | : = -3.56984
NNS | : = -3.50973
VBP | : = -3.82786
, | : = -3.24345
CC | : = -3.34925
) | : = -4.02188
VBD | : = -3.66198
RB | : = -3.36489
TO | : = -3.41919
. | : = -3.6495
VBZ | : = -3.71912
NNPS | : = -4.05584
PRP | : = -3.92164
PRP$ | : = -4.06969
VB | : = -5.4347
JJ | : = -3.42234
MD | : = -3.79132
VBG | : = -3.63759
RBR | : = -3.97069
: | : = -3.7794
WP | : = -4.23268
WDT | : = -4.2099
JJR | : = -3.83621
PDT | : = -4.33954
RBS | : = -4.3331
WRB | : = -4.14574
JJS | : = -3.97647
$ | : = -3.88385
RP | : = -4.27424
FW | : = -4.47936
EX | : = -4.46101
SYM | : = -4.78428
# | : = -4.6748
LS | : = -4.76969
UH | : = -4.72174
WP$ | : = -4.50755
IN | WP = -3.04763
DT | WP = -3.62911
NNP | WP = -3.49275
CD | WP = -3.48946
NN | WP = -3.11595
`` | WP = -3.76868
'' | WP = -3.80537
POS | WP = -4.62847
( | WP = -4.19704
VBN | WP = -3.42221
NNS | WP = -3.20794
VBP | WP = -3.71342
, | WP = -3.31518
CC | WP = -3.38722
) | WP = -4.20086
VBD | WP = -3.74286
RB | WP = -3.2372
TO | WP = -3.40412
. | WP = -3.64993
VBZ | WP = -3.8041
NNPS | WP = -4.15792
PRP | WP = -3.71556
PRP$ | WP = -4.25817
VB | WP = -4.87057
JJ | WP = -3.37726
MD | WP = -3.77328
VBG | WP = -3.47238
RBR | WP = -3.92357
: | WP = -3.84207
WP | WP = -4.13187
WDT | WP = -4.11271
JJR | WP = -3.82028
PDT | WP = -4.4947
RBS | WP = -4.39578
WRB | WP = -4.01601
JJS | WP = -4.0034
$ | WP = -3.83956
RP | WP = -4.0545
FW | WP = -4.58879
EX | WP = -4.38836
SYM | WP = -4.87115
# | WP = -4.73714
LS | WP = -4.84092
UH | WP = -4.79413
WP$ | WP = -4.65984
IN | WDT = -3.73405
DT | WDT = -3.71262
NNP | WDT = -3.81138
CD | WDT = -3.95702
NN | WDT = -3.869
`` | WDT = -3.74306
'' | WDT = -3.68141
POS | WDT = -3.74995
( | WDT = -3.81433
VBN | WDT = -3.75326
NNS | WDT = -4.01132
VBP | WDT = -3.93501
, | WDT = -3.68904
CC | WDT = -3.73161
) | WDT = -3.82132
VBD | WDT = -3.91688
RB | WDT = -3.79416
TO | WDT = -3.7931
. | WDT = -3.6335
VBZ | WDT = -3.89026
NNPS | WDT = -3.91377
PRP | WDT = -3.82018
PRP$ | WDT = -3.88332
VB | WDT = -4.19443
JJ | WDT = -3.77691
MD | WDT = -3.92708
VBG | WDT = -3.89332
RBR | WDT = -3.87477
: | WDT = -3.7934
WP | WDT = -3.82938
WDT | WDT = -3.8348
JJR | WDT = -3.87672
PDT | WDT = -3.87997
RBS | WDT = -3.81306
WRB | WDT = -3.84904
JJS | WDT = -3.90987
$ | WDT = -3.99443
RP | WDT = -3.92242
FW | WDT = -3.90555
EX | WDT = -3.82107
SYM | WDT = -3.92888
# | WDT = -3.94612
LS | WDT = -3.90992
UH | WDT = -3.91059
WP$ | WDT = -3.89087
IN | JJR = -0.868079
DT | JJR = -3.83571
NNP | JJR = -4.51167
CD | JJR = -4.12963
NN | JJR = -2.69591
`` | JJR = -5.16773
'' | JJR = -5.04164
POS | JJR = -9.36219
( | JJR = -7.42303
VBN | JJR = -3.51662
NNS | JJR = -3.31082
VBP | JJR = -5.8416
, | JJR = -2.79369
CC | JJR = -3.12886
) | JJR = -7.4753
VBD | JJR = -5.53141
RB | JJR = -2.31306
TO | JJR = -2.52338
. | JJR = -4.5067
VBZ | JJR = -5.95002
NNPS | JJR = -8.06884
PRP | JJR = -5.44663
PRP$ | JJR = -7.34361
VB | JJR = -12.9964
JJ | JJR = -3.42199
MD | JJR = -5.79037
VBG | JJR = -4.37092
RBR | JJR = -5.16899
: | JJR = -5.61658
WP | JJR = -7.02735
WDT | JJR = -7.50351
JJR | JJR = -5.33695
PDT | JJR = -8.61896
RBS | JJR = -7.40607
WRB | JJR = -5.8464
JJS | JJR = -6.33195
$ | JJR = -6.14893
RP | JJR = -5.96639
FW | JJR = -9.51497
EX | JJR = -8.38012
SYM | JJR = -10.6754
# | JJR = -10.2322
LS | JJR = -10.4919
UH | JJR = -10.3234
WP$ | JJR = -9.37141
IN | PDT = -3.8017
DT | PDT = -3.76079
NNP | PDT = -3.70542
CD | PDT = -3.57968
NN | PDT = -3.66954
`` | PDT = -3.93065
'' | PDT = -4.00412
POS | PDT = -3.77944
( | PDT = -3.85018
VBN | PDT = -3.90847
NNS | PDT = -3.67238
VBP | PDT = -3.73368
, | PDT = -3.86768
CC | PDT = -3.84051
) | PDT = -3.84459
VBD | PDT = -3.7063
RB | PDT = -3.85416
TO | PDT = -3.86058
. | PDT = -4.0907
VBZ | PDT = -3.73419
NNPS | PDT = -3.76086
PRP | PDT = -3.97868
PRP$ | PDT = -3.69945
VB | PDT = -4.06075
JJ | PDT = -3.75995
MD | PDT = -3.74483
VBG | PDT = -3.7563
RBR | PDT = -3.88773
: | PDT = -3.85656
WP | PDT = -4.03401
WDT | PDT = -3.99302
JJR | PDT = -3.79011
PDT | PDT = -3.8361
RBS | PDT = -3.99739
WRB | PDT = -4.01296
JJS | PDT = -3.76565
$ | PDT = -3.68443
RP | PDT = -3.98571
FW | PDT = -3.86965
EX | PDT = -4.07005
SYM | PDT = -3.94303
# | PDT = -3.90517
LS | PDT = -3.96647
UH | PDT = -3.95758
WP$ | PDT = -3.87921
IN | RBS = -3.16664
DT | RBS = -3.38616
NNP | RBS = -3.61809
CD | RBS = -3.38731
NN | RBS = -3.43878
`` | RBS = -3.80285
'' | RBS = -3.79693
POS | RBS = -3.96487
( | RBS = -3.90859
VBN | RBS = -3.59706
NNS | RBS = -3.61476
VBP | RBS = -3.83996
, | RBS = -3.41061
CC | RBS = -3.42937
) | RBS = -3.9154
VBD | RBS = -3.78734
RB | RBS = -3.44274
TO | RBS = -3.47505
. | RBS = -3.81588
VBZ | RBS = -3.86091
NNPS | RBS = -4.09983
PRP | RBS = -4.02068
PRP$ | RBS = -3.74557
VB | RBS = -5.56201
JJ | RBS = -3.41259
MD | RBS = -3.86568
VBG | RBS = -3.67667
RBR | RBS = -3.77595
: | RBS = -3.78497
WP | RBS = -4.2235
WDT | RBS = -4.27439
JJR | RBS = -3.70072
PDT | RBS = -4.08104
RBS | RBS = -4.04677
WRB | RBS = -4.06173
JJS | RBS = -3.8116
$ | RBS = -3.8991
RP | RBS = -4.13706
FW | RBS = -4.28746
EX | RBS = -4.38647
SYM | RBS = -4.50447
# | RBS = -4.46869
LS | RBS = -4.49583
UH | RBS = -4.47338
WP$ | RBS = -4.21996
IN | WRB = -2.09285
DT | WRB = -3.35358
NNP | WRB = -3.28391
CD | WRB = -3.59356
NN | WRB = -2.39901
`` | WRB = -4.00568
'' | WRB = -4.08416
POS | WRB = -6.00335
( | WRB = -5.32867
VBN | WRB = -3.1836
NNS | WRB = -2.83995
VBP | WRB = -4.0559
, | WRB = -2.96487
CC | WRB = -3.153
) | WRB = -5.35511
VBD | WRB = -3.94725
RB | WRB = -2.81341
TO | WRB = -2.92513
. | WRB = -3.92655
VBZ | WRB = -4.04891
NNPS | WRB = -5.12753
PRP | WRB = -4.05005
PRP$ | WRB = -5.06439
VB | WRB = -6.7297
JJ | WRB = -2.99508
MD | WRB = -4.07462
VBG | WRB = -3.3977
RBR | WRB = -4.37682
: | WRB = -4.23325
WP | WRB = -4.97037
WDT | WRB = -4.96115
JJR | WRB = -4.21603
PDT | WRB = -5.78119
RBS | WRB = -5.53551
WRB | WRB = -4.52518
JJS | WRB = -4.63249
$ | WRB = -4.1654
RP | WRB = -4.46872
FW | WRB = -6.10968
EX | WRB = -5.60681
SYM | WRB = -6.76502
# | WRB = -6.4123
LS | WRB = -6.67721
UH | WRB = -6.59668
WP$ | WRB = -6.16692
IN | JJS = -1.30023
DT | JJS = -2.28167
NNP | JJS = -3.51493
CD | JJS = -3.40413
NN | JJS = -2.54448
`` | JJS = -4.65452
'' | JJS = -4.62639
POS | JJS = -5.82327
( | JJS = -6.03597
VBN | JJS = -3.52849
NNS | JJS = -3.98966
VBP | JJS = -5.15074
, | JJS = -2.73126
CC | JJS = -2.9355
) | JJS = -6.10286
VBD | JJS = -4.76331
RB | JJS = -3.03386
TO | JJS = -2.93863
. | JJS = -4.91137
VBZ | JJS = -4.94154
NNPS | JJS = -6.56342
PRP | JJS = -5.8446
PRP$ | JJS = -4.73538
VB | JJS = -13.1567
JJ | JJS = -2.52614
MD | JJS = -5.17742
VBG | JJS = -4.12151
RBR | JJS = -5.04619
: | JJS = -4.77306
WP | JJS = -7.01381
WDT | JJS = -7.13261
JJR | JJS = -4.62143
PDT | JJS = -6.61362
RBS | JJS = -6.50027
WRB | JJS = -6.11604
JJS | JJS = -5.20518
$ | JJS = -5.31509
RP | JJS = -6.29469
FW | JJS = -7.7013
EX | JJS = -7.86752
SYM | JJS = -8.88262
# | JJS = -8.55993
LS | JJS = -8.77891
UH | JJS = -8.69731
WP$ | JJS = -7.3595
IN | $ = -2.2481
DT | $ = -4.04402
NNP | $ = -4.61306
CD | $ = -0.524706
NN | $ = -3.9727
`` | $ = -6.51352
'' | $ = -6.59224
POS | $ = -6.1357
( | $ = -4.54403
VBN | $ = -5.52135
NNS | $ = -4.18603
VBP | $ = -5.64092
, | $ = -2.90486
CC | $ = -2.9787
) | $ = -4.47475
VBD | $ = -5.33699
RB | $ = -3.44454
TO | $ = -4.85727
. | $ = -5.82049
VBZ | $ = -6.42696
NNPS | $ = -6.87324
PRP | $ = -8.04284
PRP$ | $ = -5.56734
VB | $ = -21.7416
JJ | $ = -4.04817
MD | $ = -6.14027
VBG | $ = -5.21676
RBR | $ = -5.89623
: | $ = -5.69925
WP | $ = -9.59283
WDT | $ = -9.88448
JJR | $ = -4.74938
PDT | $ = -7.52501
RBS | $ = -7.78977
WRB | $ = -9.23031
JJS | $ = -5.5109
$ | $ = -6.72483
RP | $ = -10.9173
FW | $ = -8.7132
EX | $ = -10.8038
SYM | $ = -10.6011
# | $ = -10.5654
LS | $ = -10.7842
UH | $ = -10.3814
WP$ | $ = -8.63538
IN | RP = -2.54126
DT | RP = -3.43863
NNP | RP = -3.29628
CD | RP = -3.51576
NN | RP = -2.73908
`` | RP = -3.83065
'' | RP = -3.886
POS | RP = -5.20385
( | RP = -4.67875
VBN | RP = -3.33653
NNS | RP = -3.00287
VBP | RP = -3.85889
, | RP = -3.10772
CC | RP = -3.25087
) | RP = -4.69026
VBD | RP = -3.72231
RB | RP = -2.99684
TO | RP = -3.08606
. | RP = -3.72512
VBZ | RP = -3.80784
NNPS | RP = -4.52395
PRP | RP = -3.82448
PRP$ | RP = -4.65198
VB | RP = -5.55415
JJ | RP = -3.247
MD | RP = -3.82819
VBG | RP = -3.43221
RBR | RP = -4.08347
: | RP = -3.97721
WP | RP = -4.4389
WDT | RP = -4.43444
JJR | RP = -3.9864
PDT | RP = -5.05088
RBS | RP = -4.88385
WRB | RP = -4.16904
JJS | RP = -4.26477
$ | RP = -3.90334
RP | RP = -4.15694
FW | RP = -5.23277
EX | RP = -4.88766
SYM | RP = -5.67578
# | RP = -5.43
LS | RP = -5.62674
UH | RP = -5.5598
WP$ | RP = -5.3101
IN | FW = -3.63338
DT | FW = -3.50511
NNP | FW = -3.49162
CD | FW = -3.43123
NN | FW = -3.54601
`` | FW = -3.85503
'' | FW = -3.9131
POS | FW = -3.49689
( | FW = -3.7331
VBN | FW = -3.80292
NNS | FW = -3.74406
VBP | FW = -3.70753
, | FW = -3.62008
CC | FW = -3.63989
) | FW = -3.73425
VBD | FW = -3.67615
RB | FW = -3.83057
TO | FW = -3.89337
. | FW = -3.97204
VBZ | FW = -3.70078
NNPS | FW = -3.73423
PRP | FW = -4.08497
PRP$ | FW = -3.58245
VB | FW = -4.95657
JJ | FW = -3.52757
MD | FW = -3.77454
VBG | FW = -3.73146
RBR | FW = -4.02768
: | FW = -3.77627
WP | FW = -4.2336
WDT | FW = -4.12943
JJR | FW = -3.77737
PDT | FW = -3.87792
RBS | FW = -4.12647
WRB | FW = -4.27185
JJS | FW = -3.7832
$ | FW = -3.78694
RP | FW = -4.38941
FW | FW = -3.97238
EX | FW = -4.28058
SYM | FW = -4.17831
# | FW = -4.13365
LS | FW = -4.19501
UH | FW = -4.17235
WP$ | FW = -3.97302
IN | EX = -3.70279
DT | EX = -3.80704
NNP | EX = -3.71052
CD | EX = -3.68511
NN | EX = -3.69761
`` | EX = -3.80185
'' | EX = -3.8022
POS | EX = -3.89574
( | EX = -3.7803
VBN | EX = -3.77928
NNS | EX = -3.727
VBP | EX = -3.78727
, | EX = -3.6642
CC | EX = -3.69597
) | EX = -3.77778
VBD | EX = -3.78554
RB | EX = -3.70616
TO | EX = -3.80913
. | EX = -3.70273
VBZ | EX = -3.8069
NNPS | EX = -3.8167
PRP | EX = -3.80252
PRP$ | EX = -3.95124
VB | EX = -4.19834
JJ | EX = -3.76964
MD | EX = -3.8065
VBG | EX = -3.76765
RBR | EX = -3.89759
: | EX = -3.80229
WP | EX = -3.90289
WDT | EX = -3.875
JJR | EX = -3.82951
PDT | EX = -3.95795
RBS | EX = -3.96757
WRB | EX = -3.95109
JJS | EX = -3.86868
$ | EX = -3.86031
RP | EX = -4.04189
FW | EX = -3.95202
EX | EX = -3.94918
SYM | EX = -4.03945
# | EX = -4.0182
LS | EX = -4.03939
UH | EX = -4.01654
WP$ | EX = -4.00375
IN | SYM = -3.29375
DT | SYM = -3.44255
NNP | SYM = -3.56123
CD | SYM = -3.66755
NN | SYM = -3.57222
`` | SYM = -3.69912
'' | SYM = -3.64195
POS | SYM = -3.83413
( | SYM = -3.83591
VBN | SYM = -3.64924
NNS | SYM = -3.82173
VBP | SYM = -3.92138
, | SYM = -3.37879
CC | SYM = -3.46698
) | SYM = -3.84566
VBD | SYM = -3.77912
RB | SYM = -3.53507
TO | SYM = -3.54241
. | SYM = -3.5537
VBZ | SYM = -3.80809
NNPS | SYM = -3.99476
PRP | SYM = -3.89418
PRP$ | SYM = -3.94771
VB | SYM = -5.11111
JJ | SYM = -3.59036
MD | SYM = -3.8733
VBG | SYM = -3.79847
RBR | SYM = -3.87334
: | SYM = -3.74803
WP | SYM = -4.02915
WDT | SYM = -4.0486
JJR | SYM = -3.82977
PDT | SYM = -4.08004
RBS | SYM = -4.00541
WRB | SYM = -3.98588
JJS | SYM = -3.92638
$ | SYM = -3.98244
RP | SYM = -4.13202
FW | SYM = -4.18763
EX | SYM = -4.14638
SYM | SYM = -4.3572
# | SYM = -4.32807
LS | SYM = -4.33965
UH | SYM = -4.31298
WP$ | SYM = -4.17201
IN | # = -2.47994
DT | # = -3.01272
NNP | # = -3.37929
CD | # = -1.73415
NN | # = -3.00119
`` | # = -4.5905
'' | # = -4.76074
POS | # = -4.13979
( | # = -3.93688
VBN | # = -4.06667
NNS | # = -3.28549
VBP | # = -3.97922
, | # = -3.05795
CC | # = -3.03486
) | # = -3.91623
VBD | # = -3.76068
RB | # = -3.28112
TO | # = -3.66287
. | # = -4.81113
VBZ | # = -4.19958
NNPS | # = -4.61858
PRP | # = -5.43413
PRP$ | # = -3.61737
VB | # = -11.1117
JJ | # = -3.095
MD | # = -4.17158
VBG | # = -3.76889
RBR | # = -4.28873
: | # = -4.17153
WP | # = -6.1491
WDT | # = -6.19819
JJR | # = -3.67217
PDT | # = -4.86748
RBS | # = -5.28378
WRB | # = -5.81963
JJS | # = -3.92797
$ | # = -4.23093
RP | # = -6.3129
FW | # = -5.51724
EX | # = -6.71036
SYM | # = -6.41699
# | # = -6.30514
LS | # = -6.51234
UH | # = -6.36542
WP$ | # = -5.39798
IN | LS = -4.26076
DT | LS = -4.08913
NNP | LS = -4.15521
CD | LS = -4.20296
NN | LS = -4.23565
`` | LS = -3.9347
'' | LS = -3.90772
POS | LS = -3.77001
( | LS = -3.88009
VBN | LS = -3.99187
NNS | LS = -4.16385
VBP | LS = -3.97778
, | LS = -4.15962
CC | LS = -4.12743
) | LS = -3.88139
VBD | LS = -4.05964
RB | LS = -4.15792
TO | LS = -4.10347
. | LS = -3.9541
VBZ | LS = -4.01525
NNPS | LS = -3.88436
PRP | LS = -3.88829
PRP$ | LS = -3.81373
VB | LS = -3.29485
JJ | LS = -4.06713
MD | LS = -4.00196
VBG | LS = -4.04915
RBR | LS = -3.88454
: | LS = -3.94534
WP | LS = -3.74222
WDT | LS = -3.75598
JJR | LS = -3.95218
PDT | LS = -3.71387
RBS | LS = -3.68323
WRB | LS = -3.77338
JJS | LS = -3.90044
$ | LS = -3.97875
RP | LS = -3.72347
FW | LS = -3.66775
EX | LS = -3.62848
SYM | LS = -3.52666
# | LS = -3.58435
LS | LS = -3.52133
UH | LS = -3.5498
WP$ | LS = -3.62845
IN | UH = -3.77329
DT | UH = -4.05524
NNP | UH = -3.87469
CD | UH = -3.88049
NN | UH = -3.83265
`` | UH = -3.80413
'' | UH = -3.77626
POS | UH = -4.21067
( | UH = -3.85604
VBN | UH = -3.79559
NNS | UH = -3.70116
VBP | UH = -3.85293
, | UH = -3.73782
CC | UH = -3.78168
) | UH = -3.85119
VBD | UH = -3.84933
RB | UH = -3.67484
TO | UH = -3.76943
. | UH = -3.57361
VBZ | UH = -3.88364
NNPS | UH = -3.8888
PRP | UH = -3.64654
PRP$ | UH = -4.22917
VB | UH = -3.6379
JJ | UH = -3.97494
MD | UH = -3.83314
VBG | UH = -3.82562
RBR | UH = -3.82273
: | UH = -3.8575
WP | UH = -3.69775
WDT | UH = -3.72801
JJR | UH = -3.89237
PDT | UH = -4.04424
RBS | UH = -3.88664
WRB | UH = -3.73801
JJS | UH = -3.94884
$ | UH = -3.90893
RP | UH = -3.79785
FW | UH = -3.96231
EX | UH = -3.75442
SYM | UH = -3.95776
# | UH = -3.94618
LS | UH = -3.94874
UH | UH = -3.92571
WP$ | UH = -4.03509
IN | WP$ = -4.28949
DT | WP$ = -4.2026
NNP | WP$ = -4.17448
CD | WP$ = -4.11862
NN | WP$ = -4.20554
`` | WP$ = -3.9463
'' | WP$ = -3.92739
POS | WP$ = -3.88592
( | WP$ = -3.83406
VBN | WP$ = -3.9961
NNS | WP$ = -4.06709
VBP | WP$ = -3.92872
, | WP$ = -4.14732
CC | WP$ = -4.1084
) | WP$ = -3.82986
VBD | WP$ = -4.05843
RB | WP$ = -4.08765
TO | WP$ = -4.13258
. | WP$ = -3.90341
VBZ | WP$ = -4.02782
NNPS | WP$ = -3.85372
PRP | WP$ = -3.82071
PRP$ | WP$ = -3.90883
VB | WP$ = -3.22986
JJ | WP$ = -4.10343
MD | WP$ = -3.97628
VBG | WP$ = -3.99774
RBR | WP$ = -3.8845
: | WP$ = -3.94581
WP | WP$ = -3.71869
WDT | WP$ = -3.72435
JJR | WP$ = -3.93612
PDT | WP$ = -3.7517
RBS | WP$ = -3.71457
WRB | WP$ = -3.78904
JJS | WP$ = -3.89751
$ | WP$ = -3.96663
RP | WP$ = -3.76668
FW | WP$ = -3.67263
EX | WP$ = -3.61516
SYM | WP$ = -3.54619
# | WP$ = -3.60066
LS | WP$ = -3.54443
UH | WP$ = -3.56151
WP$ | WP$ = -3.68472
