IN | IN = -3.96955
'' | JJ = -4.02013
POS | JJ = -6.88424
( | JJ = -5.56289
VBN | JJ = -4.70767
NNS | JJ = -4.93596
VBP | JJ = -7.46731
, | JJ = -2.94829
CC | JJ = -2.37556
) | JJ = -5.59738
VBD | JJ = -6.73429
RB | JJ = -1.74917
TO | JJ = -2.18206
. | JJ = -5.85418
VBZ | JJ = -6.8274
NNPS | JJ = -7.58984
PRP | JJ = -5.78429
PRP$ | JJ = -5.73903
VB | JJ = -11.2194
JJ | JJ = -4.00926
MD | JJ = -6.60265
VBG | JJ = -4.83544
RBR | JJ = -3.26846
: | JJ = -4.59307
WP | JJ = -6.31641
WDT | JJ = -7.10335
JJR | JJ = -4.84684
PDT | JJ = -6.32799
RBS | JJ = -3.93421
WRB | JJ = -4.95409
JJS | JJ = -5.26624
$ | JJ = -4.93183
RP | JJ = -5.09391
FW | JJ = -7.4568
EX | JJ = -7.16032
SYM | JJ = -8.0739
# | JJ = -8.19312
LS | JJ = -7.96646
UH | JJ = -7.83399
WP$ | JJ = -7.24069
IN | MD = -3.31008
DT | MD = -7.64475
NNP | MD = -3.03315
CD | MD = -7.6752
NN | MD = -2.30459
`` | MD = -4.2567
'' | MD = -4.39024
POS | MD = -12.7763
( | MD = -7.99178
VBN | MD = -5.19264
NNS | MD = -2.82728
VBP | MD = -6.56021
, | MD = -2.55804
CC | MD = -3.61899
) | MD = -7.95744
VBD | MD = -5.89582
RB | MD = -2.38079
TO | MD = -4.31247
. | MD = -2.25503
VBZ | MD = -5.50607
NNPS | MD = -6.57779
PRP | MD = -2.6236
PRP$ | MD = -14.0709
VB | MD = -1.28667
JJ | MD = -6.91859
MD | MD = -5.67525
VBG | MD = -4.88985
RBR | MD = -7.91573
: | MD = -5.90808
WP | MD = -4.93057
WDT | MD = -3.94104
JJR | MD = -8.72385
PDT | MD = -12.1149
RBS | MD = -10.2867
WRB | MD = -6.11377
JJS | MD = -9.50381
$ | MD = -6.31717
RP | MD = -6.81325
FW | MD = -10.0968
EX | MD = -6.20966
SYM | MD = -11.6119
# | MD = -10.2026
LS | MD = -10.9583
UH | MD = -10.509
WP$ | MD = -12.7418
IN | VBG = -1.37598
DT | VBG = -4.96603
NNP | VBG = -3.61649
CD | VBG = -5.33497
NN | VBG = -1.4889
`` | VBG = -5.33898
'' | VBG = -5.76046
POS | VBG = -11.5973
( | VBG = -8.99142
VBN | VBG = -3.98237
NNS | VBG = -2.0064
VBP | VBG = -6.02549
, | VBG = -3.7185
CC | VBG = -3.9597
) | VBG = -9.04888
VBD | VBG = -4.98755
RB | VBG = -2.67153
TO | VBG = -2.33225
. | VBG = -5.75665
VBZ | VBG = -5.2795
NNPS | VBG = -7.72352
PRP | VBG = -4.6821
PRP$ | VBG = -9.94778
VB | VBG = -5.12307
JJ | VBG = -4.1954
MD | VBG = -5.21307
VBG | VBG = -4.03808
RBR | VBG = -5.40476
: | VBG = -6.17672
WP | VBG = -6.51034
WDT | VBG = -7.2204
JJR | VBG = -6.09114
PDT | VBG = -10.008
RBS | VBG = -8.81251
WRB | VBG = -5.12593
JJS | VBG = -7.19371
$ | VBG = -4.71065
RP | VBG = -4.29255
FW | VBG = -10.4964
EX | VBG = -8.91129
SYM | VBG = -11.4453
# | VBG = -10.0348
LS | VBG = -11.0509
UH | VBG = -10.757
WP$ | VBG = -10.9598
IN | RBR = -1.02102
DT | RBR = -3.38216
NNP | RBR = -3.26935
CD | RBR = -4.45735
NN | RBR = -1.372
`` | RBR = -5.60966
'' | RBR = -6.02733
POS | RBR = -9.71937
( | RBR = -8.80777
VBN | RBR = -4.31192
NNS | RBR = -3.30227
VBP | RBR = -6.46552
, | RBR = -3.13665
CC | RBR = -3.41557
) | RBR = -8.88436
VBD | RBR = -5.57282
RB | RBR = -3.08338
TO | RBR = -3.13236
. | RBR = -6.47172
VBZ | RBR = -5.76594
NNPS | RBR = -8.22366
PRP | RBR = -6.44191
PRP$ | RBR = -8.19634
VB | RBR = -13.0571
JJ | RBR = -3.15287
MD | RBR = -6.0344
VBG | RBR = -4.3852
RBR | RBR = -6.81644
: | RBR = -6.19885
WP | RBR = -8.67995
WDT | RBR = -8.73062
JJR | RBR = -6.30626
PDT | RBR = -9.94334
RBS | RBR = -10.0342
WRB | RBR = -7.96311
JJS | RBR = -7.23602
$ | RBR = -5.60764
RP | RBR = -8.12885
FW | RBR = -10.8947
EX | RBR = -10.8339
SYM | RBR = -12.9378
# | RBR = -11.8067
LS | RBR = -12.7441
UH | RBR = -12.3764
WP$ | RBR = -11.1758
IN | : = -2.66367
DT | : = -3.23395
NNP | : = -3.0526
CD | : = -3.50072
NN | : = -2.88785
`` | : = -3.6259
'' | : = -3.62985
POS | : = -4.38719
( | : = -4.18836
VBN | : = -3.52604
NNS | : = -3.48746
VBP | : = -4.04498
, | : = -2.87849
CC | : = -3.08095
) | : = -4.20002
VBD | : = -3.71013
RB | : = -3.17648
TO | : = -3.30174
. | : = -3.54302
VBZ | : = -3.78533
NNPS | : = -4.20877
PRP | : = -3.96057
PRP$ | : = -4.49365
VB | : = -6.25917
JJ | : = -3.27985
MD | : = -3.90559
VBG | : = -3.63116
RBR | : = -4.23615
: | : = -3.78634
WP | : = -4.47024
WDT | : = -4.37513
JJR | : = -4.01216
PDT | : = -4.81432
RBS | : = -4.79649
WRB | : = -4.50921
JJS | : = -4.241
$ | : = -3.91916
RP | : = -4.83659
FW | : = -4.84961
EX | : = -4.89967
SYM | : = -5.4722
# | : = -5.29512
LS | : = -5.44453
UH | : = -5.32567
WP$ | : = -5.05761
IN | WP = -2.49795
DT | WP = -3.4155
NNP | WP = -3.21145
CD | WP = -3.43058
NN | WP = -2.57954
`` | WP = -3.7156
'' | WP = -3.84383
POS | WP = -5.33751
( | WP = -4.56816
VBN | WP = -3.47207
NNS | WP = -2.97798
VBP | WP = -4.06977
, | WP = -2.94843
CC | WP = -3.03263
) | WP = -4.58131
VBD | WP = -3.91293
RB | WP = -2.85032
TO | WP = -3.12915
. | WP = -3.86524
VBZ | WP = -3.98183
NNPS | WP = -4.54007
PRP | WP = -3.85489
PRP$ | WP = -4.8617
VB | WP = -5.77864
JJ | WP = -3.23592
MD | WP = -3.96939
VBG | WP = -3.40645
RBR | WP = -4.15736
: | WP = -3.91364
WP | WP = -4.57794
WDT | WP = -4.49893
JJR | WP = -4.05952
PDT | WP = -5.19949
RBS | WP = -5.06954
WRB | WP = -4.53884
JJS | WP = -4.32575
$ | WP = -3.87804
RP | WP = -4.7077
FW | WP = -5.35044
EX | WP = -5.15737
SYM | WP = -5.9762
# | WP = -5.65414
LS | WP = -5.89767
UH | WP = -5.7732
WP$ | WP = -5.58358
IN | WDT = -3.34162
DT | WDT = -3.54228
NNP | WDT = -3.5617
CD | WDT = -3.81144
NN | WDT = -3.53224
`` | WDT = -3.66454
'' | WDT = -3.60689
POS | WDT = -3.92092
( | WDT = -3.95919
VBN | WDT = -3.56811
NNS | WDT = -3.78141
VBP | WDT = -3.89227
, | WDT = -3.39598
CC | WDT = -3.49988
) | WDT = -3.9613
VBD | WDT = -3.82024
RB | WDT = -3.5621
TO | WDT = -3.58047
. | WDT = -3.52417
VBZ | WDT = -3.80878
NNPS | WDT = -3.98881
PRP | WDT = -3.77937
PRP$ | WDT = -3.94479
VB | WDT = -4.7014
JJ | WDT = -3.54413
MD | WDT = -3.86717
VBG | WDT = -3.74474
RBR | WDT = -3.98599
: | WDT = -3.75219
WP | WDT = -3.92897
WDT | WDT = -3.93897
JJR | WDT = -3.86992
PDT | WDT = -4.13035
RBS | WDT = -4.05204
WRB | WDT = -3.91644
JJS | WDT = -3.9618
$ | WDT = -3.95211
RP | WDT = -4.05919
FW | WDT = -4.16542
EX | WDT = -4.03859
SYM | WDT = -4.3512
# | WDT = -4.34867
LS | WDT = -4.31991
UH | WDT = -4.29315
WP$ | WDT = -4.19023
IN | JJR = -0.903571
DT | JJR = -4.04844
NNP | JJR = -4.9508
CD | JJR = -3.91438
NN | JJR = -2.72779
`` | JJR = -4.97586
'' | JJR = -5.03542
POS | JJR = -9.96201
( | JJR = -6.98341
VBN | JJR = -4.5162
NNS | JJR = -3.81956
VBP | JJR = -7.43682
, | JJR = -2.70641
CC | JJR = -2.6731
) | JJR = -7.0278
VBD | JJR = -6.61456
RB | JJR = -1.86574
TO | JJR = -2.47487
. | JJR = -5.78229
VBZ | JJR = -7.18378
NNPS | JJR = -8.52203
PRP | JJR = -6.03838
PRP$ | JJR = -8.17462
VB | JJR = -13.2508
JJ | JJR = -3.98633
MD | JJR = -6.75117
VBG | JJR = -4.80973
RBR | JJR = -4.82758
: | JJR = -5.55189
WP | JJR = -7.50662
WDT | JJR = -8.21613
JJR | JJR = -5.49216
PDT | JJR = -8.89148
RBS | JJR = -6.72644
WRB | JJR = -6.40809
JJS | JJR = -6.45797
$ | JJR = -5.82411
RP | JJR = -6.91903
FW | JJR = -9.87377
EX | JJR = -9.26088
SYM | JJR = -11.2043
# | JJR = -10.8317
LS | JJR = -10.9666
UH | JJR = -10.6521
WP$ | JJR = -10.0407
IN | PDT = -3.7738
DT | PDT = -3.67036
NNP | PDT = -3.62526
CD | PDT = -3.53794
NN | PDT = -3.57758
`` | PDT = -3.89553
'' | PDT = -4.01234
POS | PDT = -3.81085
( | PDT = -3.83496
VBN | PDT = -3.96449
NNS | PDT = -3.63608
VBP | PDT = -3.76464
, | PDT = -3.85049
CC | PDT = -3.78153
) | PDT = -3.83502
VBD | PDT = -3.70561
RB | PDT = -3.80632
TO | PDT = -3.83492
. | PDT = -4.17656
VBZ | PDT = -3.72784
NNPS | PDT = -3.74709
PRP | PDT = -3.98488
PRP$ | PDT = -3.79891
VB | PDT = -4.06038
JJ | PDT = -3.74865
MD | PDT = -3.75131
VBG | PDT = -3.73643
RBR | PDT = -3.80851
: | PDT = -3.84032
WP | PDT = -4.09208
WDT | PDT = -3.98574
JJR | PDT = -3.79893
PDT | PDT = -3.83263
RBS | PDT = -4.07679
WRB | PDT = -4.13669
JJS | PDT = -3.77172
$ | PDT = -3.59748
RP | PDT = -4.09563
FW | PDT = -3.85685
EX | PDT = -4.1707
SYM | PDT = -3.98513
# | PDT = -3.87637
LS | PDT = -4.03443
UH | PDT = -4.00542
WP$ | PDT = -3.90939
IN | RBS = -2.39374
DT | RBS = -3.01285
NNP | RBS = -3.23179
CD | RBS = -3.24796
NN | RBS = -2.78311
`` | RBS = -3.80123
'' | RBS = -3.8451
POS | RBS = -4.57101
( | RBS = -4.40902
VBN | RBS = -3.44236
NNS | RBS = -3.40188
VBP | RBS = -4.13343
, | RBS = -2.9527
CC | RBS = -3.05879
) | RBS = -4.4305
VBD | RBS = -3.8234
RB | RBS = -3.11304
TO | RBS = -3.12563
. | RBS = -3.99375
VBZ | RBS = -3.97606
NNPS | RBS = -4.55727
PRP | RBS = -4.2753
PRP$ | RBS = -4.213
VB | RBS = -7.21707
JJ | RBS = -2.9972
MD | RBS = -4.0306
VBG | RBS = -3.57162
RBR | RBS = -4.10162
: | RBS = -3.8911
WP | RBS = -4.83344
WDT | RBS = -4.88656
JJR | RBS = -3.83509
PDT | RBS = -4.82712
RBS | RBS = -4.82085
WRB | RBS = -4.64212
JJS | RBS = -4.11702
$ | RBS = -3.92241
RP | RBS = -4.88631
FW | RBS = -5.16558
EX | RBS = -5.40815
SYM | RBS = -5.8142
# | RBS = -5.63542
LS | RBS = -5.79804
UH | RBS = -5.68452
WP$ | RBS = -5.16756
IN | WRB = -1.81677
DT | WRB = -3.42398
NNP | WRB = -3.50567
CD | WRB = -3.80232
NN | WRB = -2.25009
`` | WRB = -3.94802
'' | WRB = -4.05603
POS | WRB = -6.86889
( | WRB = -5.68402
VBN | WRB = -3.28482
NNS | WRB = -2.92036
VBP | WRB = -4.73428
, | WRB = -2.76794
CC | WRB = -2.87798
) | WRB = -5.71546
VBD | WRB = -4.61057
RB | WRB = -2.44556
TO | WRB = -2.76732
. | WRB = -4.13886
VBZ | WRB = -4.66303
NNPS | WRB = -5.76174
PRP | WRB = -4.14064
PRP$ | WRB = -5.68335
VB | WRB = -7.31361
JJ | WRB = -3.05561
MD | WRB = -4.59083
VBG | WRB = -3.4808
RBR | WRB = -4.57559
: | WRB = -4.35417
WP | WRB = -5.23511
WDT | WRB = -5.36905
JJR | WRB = -4.50509
PDT | WRB = -6.43955
RBS | WRB = -5.87129
WRB | WRB = -4.87269
JJS | WRB = -4.99433
$ | WRB = -4.49445
RP | WRB = -5.03261
FW | WRB = -6.91671
EX | WRB = -6.18123
SYM | WRB = -7.7475
# | WRB = -7.32701
LS | WRB = -7.53862
UH | WRB = -7.39342
WP$ | WRB = -7.05914
IN | JJS = -1.01758
DT | JJS = -1.67663
NNP | JJS = -3.93082
CD | JJS = -3.79
NN | JJS = -2.94132
`` | JJS = -5.12214
'' | JJS = -4.99043
POS | JJS = -5.55593
( | JJS = -6.94816
VBN | JJS = -4.03249
NNS | JJS = -5.50897
VBP | JJS = -6.75345
, | JJS = -2.94286
CC | JJS = -3.08162
) | JJS = -7.02623
VBD | JJS = -5.72171
RB | JJS = -3.62383
TO | JJS = -2.99556
. | JJS = -6.12389
VBZ | JJS = -5.99715
NNPS | JJS = -7.84546
PRP | JJS = -7.32716
PRP$ | JJS = -4.58554
VB | JJS = -17.0746
JJ | JJS = -2.44428
MD | JJS = -6.37736
VBG | JJS = -5.02348
RBR | JJS = -5.64222
: | JJS = -5.35265
WP | JJS = -8.34694
WDT | JJS = -8.99114
JJR | JJS = -5.00791
PDT | JJS = -7.08597
RBS | JJS = -6.86907
WRB | JJS = -7.11424
JJS | JJS = -5.73179
$ | JJS = -5.80208
RP | JJS = -7.68461
FW | JJS = -8.68327
EX | JJS = -9.72564
SYM | JJS = -10.2383
# | JJS = -10.2094
LS | JJS = -10.2622
UH | JJS = -10.0565
WP$ | JJS = -7.9509
IN | $ = -2.12393
DT | $ = -4.05341
NNP | $ = -4.7239
CD | $ = -0.52557
NN | $ = -3.56533
`` | $ = -6.50931
'' | $ = -7.05314
POS | $ = -7.11389
( | $ = -4.21106
VBN | $ = -7.0135
NNS | $ = -4.45389
VBP | $ = -7.0962
, | $ = -3.00572
CC | $ = -2.89863
) | $ = -4.21091
VBD | $ = -5.70756
RB | $ = -3.63387
TO | $ = -5.03388
. | $ = -8.20323
VBZ | $ = -7.37969
NNPS | $ = -6.96351
PRP | $ = -9.20653
PRP$ | $ = -6.67663
VB | $ = -23.0562
JJ | $ = -4.2032
MD | $ = -6.83989
VBG | $ = -5.68598
RBR | $ = -5.75051
: | $ = -5.70456
WP | $ = -10.901
WDT | $ = -10.2604
JJR | $ = -4.76248
PDT | $ = -7.60747
RBS | $ = -8.14302
WRB | $ = -11.5439
JJS | $ = -5.41364
$ | $ = -5.46946
RP | $ = -13.6361
FW | $ = -8.28673
EX | $ = -12.5519
SYM | $ = -11.1708
# | $ = -10.9055
LS | $ = -11.7311
UH | $ = -11.0597
WP$ | $ = -8.96486
IN | RP = -1.87511
DT | RP = -3.36089
NNP | RP = -3.09597
CD | RP = -3.59433
NN | RP = -2.11449
`` | RP = -4.04694
'' | RP = -4.24206
POS | RP = -6.56445
( | RP = -5.56713
VBN | RP = -3.53934
NNS | RP = -2.8111
VBP | RP = -4.61353
, | RP = -2.85305
CC | RP = -2.98133
) | RP = -5.59232
VBD | RP = -4.14817
RB | RP = -2.67751
TO | RP = -2.80821
. | RP = -4.38476
VBZ | RP = -4.30094
NNPS | RP = -5.3779
PRP | RP = -4.28571
PRP$ | RP = -5.84223
VB | RP = -6.98898
JJ | RP = -3.17521
MD | RP = -4.33008
VBG | RP = -3.53249
RBR | RP = -4.49153
: | RP = -4.37405
WP | RP = -5.35713
WDT | RP = -5.44148
JJR | RP = -4.46258
PDT | RP = -6.35174
RBS | RP = -6.06375
WRB | RP = -4.99017
JJS | RP = -4.95666
$ | RP = -4.07017
RP | RP = -5.05517
FW | RP = -6.69297
EX | RP = -6.43923
SYM | RP = -7.59765
# | RP = -7.03951
LS | RP = -7.4792
UH | RP = -7.28615
WP$ | RP = -6.94714
IN | FW = -3.3371
DT | FW = -3.17455
NNP | FW = -3.12061
CD | FW = -3.34526
NN | FW = -3.28487
`` | FW = -3.79801
'' | FW = -3.83545
POS | FW = -3.2807
( | FW = -3.76303
VBN | FW = -3.75528
NNS | FW = -3.8345
VBP | FW = -3.69631
, | FW = -3.29718
CC | FW = -3.45499
) | FW = -3.77446
VBD | FW = -3.51424
RB | FW = -3.81653
TO | FW = -3.88728
. | FW = -3.78842
VBZ | FW = -3.55646
NNPS | FW = -3.71259
PRP | FW = -4.2308
PRP$ | FW = -3.58133
VB | FW = -6.40885
JJ | FW = -3.283
MD | FW = -3.74546
VBG | FW = -3.71958
RBR | FW = -4.37988
: | FW = -3.74496
WP | FW = -4.54561
WDT | FW = -4.24669
JJR | FW = -3.85398
PDT | FW = -4.05912
RBS | FW = -4.66569
WRB | FW = -4.84126
JJS | FW = -3.88952
$ | FW = -3.8482
RP | FW = -5.21524
FW | FW = -4.07216
EX | FW = -4.67913
SYM | FW = -4.64247
# | FW = -4.56305
LS | FW = -4.71581
UH | FW = -4.63326
WP$ | FW = -4.17852
IN | EX = -3.70428
DT | EX = -3.7563
NNP | EX = -3.69039
CD | EX = -3.67108
NN | EX = -3.63967
`` | EX = -3.7427
'' | EX = -3.77875
POS | EX = -3.92032
( | EX = -3.74591
VBN | EX = -3.86816
NNS | EX = -3.72561
VBP | EX = -3.85538
, | EX = -3.64192
CC | EX = -3.639
) | EX = -3.74636
VBD | EX = -3.85071
RB | EX = -3.63077
TO | EX = -3.79879
. | EX = -3.79511
VBZ | EX = -3.84575
NNPS | EX = -3.8159
PRP | EX = -3.81569
PRP$ | EX = -3.95593
VB | EX = -4.19837
JJ | EX = -3.79537
MD | EX = -3.84317
VBG | EX = -3.76004
RBR | EX = -3.87455
: | EX = -3.76609
WP | EX = -3.93048
WDT | EX = -3.81442
JJR | EX = -3.87499
PDT | EX = -3.95376
RBS | EX = -3.96952
WRB | EX = -4.05258
JJS | EX = -3.86713
$ | EX = -3.80245
RP | EX = -4.15561
FW | EX = -3.90524
EX | EX = -3.94408
SYM | EX = -4.04459
# | EX = -4.00756
LS | EX = -4.04762
UH | EX = -4.02092
WP$ | EX = -4.01697
IN | SYM = -3.26859
DT | SYM = -3.50135
NNP | SYM = -3.54481
CD | SYM = -3.69898
NN | SYM = -3.55395
`` | SYM = -3.6913
'' | SYM = -3.61314
POS | SYM = -3.82148
( | SYM = -3.85305
VBN | SYM = -3.61191
NNS | SYM = -3.85414
VBP | SYM = -3.94944
, | SYM = -3.36361
CC | SYM = -3.49446
) | SYM = -3.86401
VBD | SYM = -3.73777
RB | SYM = -3.57666
TO | SYM = -3.53149
. | SYM = -3.53583
VBZ | SYM = -3.8091
NNPS | SYM = -3.97994
PRP | SYM = -3.90614
PRP$ | SYM = -3.951
VB | SYM = -5.1716
JJ | SYM = -3.55187
MD | SYM = -3.86298
VBG | SYM = -3.80661
RBR | SYM = -3.9115
: | SYM = -3.75633
WP | SYM = -4.01541
WDT | SYM = -4.07447
JJR | SYM = -3.80431
PDT | SYM = -4.10713
RBS | SYM = -3.98656
WRB | SYM = -3.95385
JJS | SYM = -3.92838
$ | SYM = -3.91438
RP | SYM = -4.13866
FW | SYM = -4.15144
EX | SYM = -4.18199
SYM | SYM = -4.36799
# | SYM = -4.37759
LS | SYM = -4.35351
UH | SYM = -4.31416
WP$ | SYM = -4.16232
IN | # = -2.55676
DT | # = -3.16889
NNP | # = -4.10604
CD | # = -0.774917
NN | # = -3.08718
`` | # = -5.71665
'' | # = -6.35621
POS | # = -5.2668
( | # = -4.06505
VBN | # = -5.75557
NNS | # = -3.58895
VBP | # = -5.32995
, | # = -3.75228
CC | # = -3.33364
) | # = -4.07978
VBD | # = -4.42799
RB | # = -3.78843
TO | # = -4.25027
. | # = -7.80191
VBZ | # = -5.5611
NNPS | # = -5.50468
PRP | # = -7.59341
PRP$ | # = -4.38497
VB | # = -15.7126
JJ | # = -3.38797
MD | # = -5.2207
VBG | # = -4.49135
RBR | # = -4.29133
: | # = -4.92259
WP | # = -8.6317
WDT | # = -8.32862
JJR | # = -3.68526
PDT | # = -5.33054
RBS | # = -6.35369
WRB | # = -8.65891
JJS | # = -4.00175
$ | # = -3.87442
RP | # = -9.44791
FW | # = -6.23958
EX | # = -9.8686
SYM | # = -7.97959
# | # = -7.61902
LS | # = -8.4712
UH | # = -8.07157
WP$ | # = -6.30464
IN | LS = -4.24645
DT | LS = -4.17337
NNP | LS = -4.21396
CD | LS = -4.25219
NN | LS = -4.34218
`` | LS = -4.03077
'' | LS = -3.94299
POS | LS = -3.75323
( | LS = -3.95643
VBN | LS = -3.85935
NNS | LS = -4.14986
VBP | LS = -3.84507
, | LS = -4.1781
CC | LS = -4.22176
) | LS = -3.95005
VBD | LS = -3.96583
RB | LS = -4.26763
TO | LS = -4.12871
. | LS = -3.78942
VBZ | LS = -3.94703
NNPS | LS = -3.89542
PRP | LS = -3.86562
PRP$ | LS = -3.72813
VB | LS = -3.3759
JJ | LS = -4.0304
MD | LS = -3.9363
VBG | LS = -4.05637
RBR | LS = -4.00368
: | LS = -3.99528
WP | LS = -3.69396
WDT | LS = -3.79435
JJR | LS = -3.90875
PDT | LS = -3.73047
RBS | LS = -3.72135
WRB | LS = -3.65429
JJS | LS = -3.89666
$ | LS = -4.12261
RP | LS = -3.60685
FW | LS = -3.73097
EX | LS = -3.57306
SYM | LS = -3.52662
# | LS = -3.6339
LS | LS = -3.51041
UH | LS = -3.55575
WP$ | LS = -3.60518
IN | UH = -3.53612
DT | UH = -3.97562
NNP | UH = -3.61662
CD | UH = -3.89817
NN | UH = -3.59099
`` | UH = -3.64274
'' | UH = -3.59843
POS | UH = -4.29245
( | UH = -3.8242
VBN | UH = -3.69859
NNS | UH = -3.62972
VBP | UH = -3.86754
, | UH = -3.4104
CC | UH = -3.55649
) | UH = -3.82409
VBD | UH = -3.80212
RB | UH = -3.49538
TO | UH = -3.69201
. | UH = -3.32231
VBZ | UH = -3.82466
NNPS | UH = -3.85509
PRP | UH = -3.55645
PRP$ | UH = -4.44417
VB | UH = -3.95896
JJ | UH = -3.85958
MD | UH = -3.81217
VBG | UH = -3.75723
RBR | UH = -4.005
: | UH = -3.76475
WP | UH = -3.7303
WDT | UH = -3.6554
JJR | UH = -3.98488
PDT | UH = -4.30423
RBS | UH = -4.0952
WRB | UH = -3.87718
JJS | UH = -4.07557
$ | UH = -3.95143
RP | UH = -4.06895
FW | UH = -4.12172
EX | UH = -3.82087
SYM | UH = -4.28602
# | UH = -4.23298
LS | UH = -4.22985
UH | UH = -4.18644
WP$ | UH = -4.33964
IN | WP$ = -4.31311
DT | WP$ = -4.16067
NNP | WP$ = -4.19276
CD | WP$ = -4.10249
NN | WP$ = -4.20832
`` | WP$ = -3.9265
'' | WP$ = -3.92583
POS | WP$ = -3.89056
( | WP$ = -3.83027
VBN | WP$ = -4.04995
NNS | WP$ = -4.05379
VBP | WP$ = -3.93339
, | WP$ = -4.13537
CC | WP$ = -4.06828
) | WP$ = -3.82093
VBD | WP$ = -4.13612
RB | WP$ = -4.02204
TO | WP$ = -4.15174
. | WP$ = -3.92803
VBZ | WP$ = -4.04884
NNPS | WP$ = -3.87479
PRP | WP$ = -3.81523
PRP$ | WP$ = -3.84198
VB | WP$ = -3.20891
JJ | WP$ = -4.14873
MD | WP$ = -4.00633
VBG | WP$ = -3.99048
RBR | WP$ = -3.92426
: | WP$ = -3.92279
WP | WP$ = -3.72455
WDT | WP$ = -3.66401
JJR | WP$ = -4.0003
PDT | WP$ = -3.74857
RBS | WP$ = -3.709
WRB | WP$ = -3.82786
JJS | WP$ = -3.90409
$ | WP$ = -4.02554
RP | WP$ = -3.80437
FW | WP$ = -3.68778
EX | WP$ = -3.52667
SYM | WP$ = -3.54346
# | WP$ = -3.60937
LS | WP$ = -3.53243
UH | WP$ = -3.56637
WP$ | WP$ = -3.69989
