Current epoch = 1
IN | IN = -3.3668
TO | VB = -2.58611
. | VB = -4.59064
VBZ | VB = -4.82734
NNPS | VB = -7.05795
PRP | VB = -3.94106
PRP$ | VB = -7.93817
VB | VB = -5.82349
JJ | VB = -3.53646
MD | VB = -4.74059
VBG | VB = -3.41944
RBR | VB = -6.21586
: | VB = -5.72668
WP | VB = -5.70229
WDT | VB = -5.51863
JJR | VB = -6.26513
PDT | VB = -9.03856
RBS | VB = -8.53428
WRB | VB = -5.38718
JJS | VB = -7.05486
$ | VB = -5.28149
RP | VB = -4.91017
FW | VB = -9.40153
EX | VB = -7.02053
SYM | VB = -10.0531
# | VB = -9.54678
LS | VB = -9.94138
UH | VB = -9.87587
WP$ | VB = -9.52555
IN | JJ = -1.28999
DT | JJ = -3.17947
NNP | JJ = -4.62087
CD | JJ = -3.78705
NN | JJ = -3.69166
`` | JJ = -4.22601
'' | JJ = -4.00975
POS | JJ = -6.65716
( | JJ = -5.84506
VBN | JJ = -3.08625
NNS | JJ = -4.22224
VBP | JJ = -5.31719
, | JJ = -2.98189
CC | JJ = -2.9653
) | JJ = -5.85
VBD | JJ = -5.37905
RB | JJ = -2.68657
TO | JJ = -2.17128
. | JJ = -3.82611
VBZ | JJ = -5.51169
NNPS | JJ = -6.7902
PRP | JJ = -4.82387
PRP$ | JJ = -4.27635
VB | JJ = -10.9485
JJ | JJ = -2.98374
MD | JJ = -5.38332
VBG | JJ = -4.1169
RBR | JJ = -3.85485
: | JJ = -4.74437
WP | JJ = -5.34117
WDT | JJ = -5.98005
JJR | JJ = -4.10588
PDT | JJ = -5.93319
RBS | JJ = -5.48495
WRB | JJ = -4.26034
JJS | JJ = -4.7983
$ | JJ = -6.12638
RP | JJ = -4.08331
FW | JJ = -6.98349
EX | JJ = -6.09456
SYM | JJ = -7.24889
# | JJ = -7.2107
LS | JJ = -7.12989
UH | JJ = -7.13531
WP$ | JJ = -6.38534
IN | MD = -3.30635
DT | MD = -6.57875
NNP | MD = -2.86961
CD | MD = -8.12584
NN | MD = -2.17167
`` | MD = -4.35925
'' | MD = -4.30911
POS | MD = -10.2354
( | MD = -8.25758
VBN | MD = -3.94308
NNS | MD = -2.68819
VBP | MD = -5.46824
, | MD = -2.85592
CC | MD = -4.36373
) | MD = -8.37515
VBD | MD = -5.02264
RB | MD = -3.23965
TO | MD = -4.36166
. | MD = -2.05724
VBZ | MD = -4.60649
NNPS | MD = -6.19544
PRP | MD = -2.74422
PRP$ | MD = -11.3741
VB | MD = -1.30342
JJ | MD = -5.75257
MD | MD = -4.79752
VBG | MD = -4.36593
RBR | MD = -7.6174
: | MD = -5.78772
WP | MD = -4.63385
WDT | MD = -3.96741
JJR | MD = -7.74952
PDT | MD = -9.90968
RBS | MD = -9.20297
WRB | MD = -5.80418
JJS | MD = -8.55235
$ | MD = -5.6884
RP | MD = -6.36808
FW | MD = -9.27022
EX | MD = -6.03725
SYM | MD = -9.89876
# | MD = -9.29037
LS | MD = -9.85934
UH | MD = -9.54876
WP$ | MD = -10.196
IN | VBG = -1.41875
DT | VBG = -4.9536
NNP | VBG = -4.04735
CD | VBG = -6.13744
NN | VBG = -1.6496
`` | VBG = -5.08107
'' | VBG = -5.3296
POS | VBG = -10.838
( | VBG = -9.00178
VBN | VBG = -3.30554
NNS | VBG = -1.78004
VBP | VBG = -5.23416
, | VBG = -3.65231
CC | VBG = -3.97286
) | VBG = -9.09714
VBD | VBG = -5.35977
RB | VBG = -2.68065
TO | VBG = -2.49142
. | VBG = -5.06559
VBZ | VBG = -5.20898
NNPS | VBG = -7.61135
PRP | VBG = -4.44064
PRP$ | VBG = -7.93671
VB | VBG = -7.51798
JJ | VBG = -3.54278
MD | VBG = -5.0065
VBG | VBG = -3.49583
RBR | VBG = -6.25738
: | VBG = -6.07385
WP | VBG = -6.23709
WDT | VBG = -6.21027
JJR | VBG = -6.27248
PDT | VBG = -9.42925
RBS | VBG = -8.90871
WRB | VBG = -5.5844
JJS | VBG = -7.14503
$ | VBG = -5.65641
RP | VBG = -5.03512
FW | VBG = -9.97419
EX | VBG = -7.68355
SYM | VBG = -10.6829
# | VBG = -10.219
LS | VBG = -10.5999
UH | VBG = -10.5118
WP$ | VBG = -9.99575
IN | RBR = -1.68946
DT | RBR = -3.40233
NNP | RBR = -2.93134
CD | RBR = -4.05389
NN | RBR = -1.9675
`` | RBR = -4.24909
'' | RBR = -4.4053
POS | RBR = -6.69711
( | RBR = -6.2794
VBN | RBR = -3.24964
NNS | RBR = -2.82008
VBP | RBR = -4.44373
, | RBR = -2.80017
CC | RBR = -3.10888
) | RBR = -6.31937
VBD | RBR = -4.25612
RB | RBR = -2.93577
TO | RBR = -2.98398
. | RBR = -4.29619
VBZ | RBR = -4.2138
NNPS | RBR = -5.70512
PRP | RBR = -4.57224
PRP$ | RBR = -5.59429
VB | RBR = -7.72262
JJ | RBR = -2.85988
MD | RBR = -4.33969
VBG | RBR = -3.41103
RBR | RBR = -5.26104
: | RBR = -4.82738
WP | RBR = -5.6245
WDT | RBR = -5.5842
JJR | RBR = -4.95199
PDT | RBR = -6.89602
RBS | RBR = -6.92677
WRB | RBR = -5.23854
JJS | RBR = -5.48049
$ | RBR = -4.86113
RP | RBR = -5.1518
FW | RBR = -7.49583
EX | RBR = -6.47627
SYM | RBR = -8.14357
# | RBR = -7.82518
LS | RBR = -8.06709
UH | RBR = -7.99105
WP$ | RBR = -7.47266
IN | : = -3.35716
DT | : = -3.54537
NNP | : = -3.55976
CD | : = -3.54989
NN | : = -3.51654
`` | : = -3.77359
'' | : = -3.78248
POS | : = -3.92788
( | : = -3.94818
VBN | : = -3.65279
NNS | : = -3.68266
VBP | : = -3.8206
, | : = -3.51023
CC | : = -3.5451
) | : = -3.94544
VBD | : = -3.76681
RB | : = -3.59526
TO | : = -3.60816
. | : = -3.77541
VBZ | : = -3.78351
NNPS | : = -3.97353
PRP | : = -3.92581
PRP$ | : = -3.80835
VB | : = -4.64828
JJ | : = -3.54151
MD | : = -3.82247
VBG | : = -3.69268
RBR | : = -3.86423
: | : = -3.82782
WP | : = -4.02516
WDT | : = -4.04993
JJR | : = -3.8023
PDT | : = -4.05475
RBS | : = -4.09032
WRB | : = -3.93666
JJS | : = -3.87222
$ | : = -3.91481
RP | : = -3.95447
FW | : = -4.18901
EX | : = -4.13039
SYM | : = -4.28488
# | : = -4.25246
LS | : = -4.27492
UH | : = -4.26277
WP$ | : = -4.15513
IN | WP = -3.31824
DT | WP = -3.75541
NNP | WP = -3.58142
CD | WP = -3.6197
NN | WP = -3.38064
`` | WP = -3.75822
'' | WP = -3.78107
POS | WP = -4.30449
( | WP = -4.10858
VBN | WP = -3.57566
NNS | WP = -3.40977
VBP | WP = -3.75854
, | WP = -3.49536
CC | WP = -3.53856
) | WP = -4.10359
VBD | WP = -3.74543
RB | WP = -3.46945
TO | WP = -3.50489
. | WP = -3.69469
VBZ | WP = -3.77078
NNPS | WP = -4.01261
PRP | WP = -3.74417
PRP$ | WP = -4.06043
VB | WP = -4.29361
JJ | WP = -3.54047
MD | WP = -3.74962
VBG | WP = -3.5853
RBR | WP = -3.89121
: | WP = -3.86044
WP | WP = -3.94032
WDT | WP = -3.94771
JJR | WP = -3.85041
PDT | WP = -4.22728
RBS | WP = -4.20014
WRB | WP = -3.86213
JJS | WP = -3.95941
$ | WP = -3.86416
RP | WP = -3.85312
FW | WP = -4.30625
EX | WP = -4.10507
SYM | WP = -4.41349
# | WP = -4.37306
LS | WP = -4.40937
UH | WP = -4.38531
WP$ | WP = -4.31865
IN | WDT = -3.88033
DT | WDT = -3.77199
NNP | WDT = -3.90853
CD | WDT = -3.99529
NN | WDT = -3.99883
`` | WDT = -3.80384
'' | WDT = -3.75686
POS | WDT = -3.72132
( | WDT = -3.78094
VBN | WDT = -3.84609
NNS | WDT = -4.12515
VBP | WDT = -3.97884
, | WDT = -3.80615
CC | WDT = -3.84096
) | WDT = -3.78855
VBD | WDT = -3.96308
RB | WDT = -3.89182
TO | WDT = -3.87417
. | WDT = -3.70823
VBZ | WDT = -3.94324
NNPS | WDT = -3.90181
PRP | WDT = -3.8556
PRP$ | WDT = -3.83207
VB | WDT = -3.98584
JJ | WDT = -3.89173
MD | WDT = -3.96964
VBG | WDT = -3.97362
RBR | WDT = -3.82215
: | WDT = -3.83031
WP | WDT = -3.81411
WDT | WDT = -3.83658
JJR | WDT = -3.85817
PDT | WDT = -3.78808
RBS | WDT = -3.76499
WRB | WDT = -3.84073
JJS | WDT = -3.86764
$ | WDT = -3.99306
RP | WDT = -3.88318
FW | WDT = -3.80699
EX | WDT = -3.79064
SYM | WDT = -3.78402
# | WDT = -3.79176
LS | WDT = -3.76947
UH | WDT = -3.7765
WP$ | WDT = -3.78213
IN | JJR = -1.11889
DT | JJR = -3.75895
NNP | JJR = -3.72881
CD | JJR = -4.34615
NN | JJR = -2.45279
`` | JJR = -4.53308
'' | JJR = -4.53534
POS | JJR = -8.17071
( | JJR = -7.13273
VBN | JJR = -3.18462
NNS | JJR = -3.17512
VBP | JJR = -5.23718
, | JJR = -2.75533
CC | JJR = -3.06717
) | JJR = -7.15991
VBD | JJR = -5.13
RB | JJR = -2.63344
TO | JJR = -2.51821
. | JJR = -4.11836
VBZ | JJR = -5.17338
NNPS | JJR = -7.00963
PRP | JJR = -4.83231
PRP$ | JJR = -6.15207
VB | JJR = -10.0212
JJ | JJR = -3.05567
MD | JJR = -5.15536
VBG | JJR = -3.81576
RBR | JJR = -5.25854
: | JJR = -5.31976
WP | JJR = -6.01154
WDT | JJR = -6.27053
JJR | JJR = -5.20078
PDT | JJR = -7.74822
RBS | JJR = -7.43435
WRB | JJR = -5.2556
JJS | JJR = -6.009
$ | JJR = -5.99304
RP | JJR = -5.13869
FW | JJR = -8.61907
EX | JJR = -7.14356
SYM | JJR = -9.2528
# | JJR = -8.97029
LS | JJR = -9.14689
UH | JJR = -9.05954
WP$ | JJR = -8.38522
IN | PDT = -3.83079
DT | PDT = -3.80182
NNP | PDT = -3.73449
CD | PDT = -3.6145
NN | PDT = -3.70581
`` | PDT = -3.9207
'' | PDT = -3.97578
POS | PDT = -3.77266
( | PDT = -3.85268
VBN | PDT = -3.89573
NNS | PDT = -3.68853
VBP | PDT = -3.7329
, | PDT = -3.8849
CC | PDT = -3.84211
) | PDT = -3.84448
VBD | PDT = -3.72281
RB | PDT = -3.88149
TO | PDT = -3.89773
. | PDT = -4.08853
VBZ | PDT = -3.74214
NNPS | PDT = -3.7684
PRP | PDT = -3.97875
PRP$ | PDT = -3.73783
VB | PDT = -3.95678
JJ | PDT = -3.74929
MD | PDT = -3.75112
VBG | PDT = -3.75501
RBR | PDT = -3.91009
: | PDT = -3.8679
WP | PDT = -3.99356
WDT | PDT = -3.96545
JJR | PDT = -3.82589
PDT | PDT = -3.85583
RBS | PDT = -3.94378
WRB | PDT = -3.96161
JJS | PDT = -3.79686
$ | PDT = -3.71512
RP | PDT = -3.93156
FW | PDT = -3.87554
EX | PDT = -3.98752
SYM | PDT = -3.91905
# | PDT = -3.91011
LS | PDT = -3.93011
UH | PDT = -3.92789
WP$ | PDT = -3.88875
IN | RBS = -3.59274
DT | RBS = -3.63065
NNP | RBS = -3.82354
CD | RBS = -3.53584
NN | RBS = -3.81439
`` | RBS = -3.85226
'' | RBS = -3.8458
POS | RBS = -3.76309
( | RBS = -3.81993
VBN | RBS = -3.77503
NNS | RBS = -3.89972
VBP | RBS = -3.87853
, | RBS = -3.71818
CC | RBS = -3.67857
) | RBS = -3.81093
VBD | RBS = -3.86799
RB | RBS = -3.75631
TO | RBS = -3.71135
. | RBS = -3.90319
VBZ | RBS = -3.90715
NNPS | RBS = -3.97014
PRP | RBS = -4.02262
PRP$ | RBS = -3.59848
VB | RBS = -4.69795
JJ | RBS = -3.63674
MD | RBS = -3.91218
VBG | RBS = -3.82258
RBR | RBS = -3.75451
: | RBS = -3.84238
WP | RBS = -4.01099
WDT | RBS = -4.07651
JJR | RBS = -3.72205
PDT | RBS = -3.82634
RBS | RBS = -3.85702
WRB | RBS = -3.88446
JJS | RBS = -3.75331
$ | RBS = -3.96046
RP | RBS = -3.87967
FW | RBS = -3.95664
EX | RBS = -4.03264
SYM | RBS = -3.99196
# | RBS = -4.00204
LS | RBS = -3.98328
UH | RBS = -3.98767
WP$ | RBS = -3.88346
IN | WRB = -2.51825
DT | WRB = -3.49442
NNP | WRB = -3.26605
CD | WRB = -3.73402
NN | WRB = -2.6564
`` | WRB = -3.80484
'' | WRB = -3.8925
POS | WRB = -5.22763
( | WRB = -4.87436
VBN | WRB = -3.25963
NNS | WRB = -2.90355
VBP | WRB = -3.83671
, | WRB = -3.17348
CC | WRB = -3.27841
) | WRB = -4.89293
VBD | WRB = -3.80247
RB | WRB = -3.07518
TO | WRB = -3.05496
. | WRB = -3.86016
VBZ | WRB = -3.78986
NNPS | WRB = -4.54639
PRP | WRB = -3.8508
PRP$ | WRB = -4.46319
VB | WRB = -5.29851
JJ | WRB = -3.12263
MD | WRB = -3.79191
VBG | WRB = -3.30832
RBR | WRB = -4.20467
: | WRB = -4.08484
WP | WRB = -4.38594
WDT | WRB = -4.38441
JJR | WRB = -4.09915
PDT | WRB = -5.10214
RBS | WRB = -5.06006
WRB | WRB = -4.14734
JJS | WRB = -4.36685
$ | WRB = -4.03018
RP | WRB = -4.03868
FW | WRB = -5.37461
EX | WRB = -4.8231
SYM | WRB = -5.66506
# | WRB = -5.5178
LS | WRB = -5.63457
UH | WRB = -5.60112
WP$ | WRB = -5.35578
IN | JJS = -1.74642
DT | JJS = -2.79728
NNP | JJS = -3.20189
CD | JJS = -3.4922
NN | JJS = -2.49844
`` | JJS = -4.1035
'' | JJS = -4.18134
POS | JJS = -5.4656
( | JJS = -5.46157
VBN | JJS = -3.21303
NNS | JJS = -3.50997
VBP | JJS = -4.43789
, | JJS = -2.83141
CC | JJS = -2.94774
) | JJS = -5.49027
VBD | JJS = -4.29049
RB | JJS = -3.07382
TO | JJS = -2.90691
. | JJS = -4.34493
VBZ | JJS = -4.30428
NNPS | JJS = -5.49048
PRP | JJS = -4.83089
PRP$ | JJS = -4.31355
VB | JJS = -8.71954
JJ | JJS = -2.56258
MD | JJS = -4.43907
VBG | JJS = -3.54837
RBR | JJS = -4.59273
: | JJS = -4.503
WP | JJS = -5.51335
WDT | JJS = -5.64512
JJR | JJS = -4.31239
PDT | JJS = -5.84393
RBS | JJS = -5.95418
WRB | JJS = -4.93973
JJS | JJS = -4.74909
$ | JJS = -4.89083
RP | JJS = -4.84337
FW | JJS = -6.6254
EX | JJS = -6.1135
SYM | JJS = -7.14995
# | JJS = -6.94956
LS | JJS = -7.05285
UH | JJS = -7.03582
WP$ | JJS = -6.39002
IN | $ = -2.21662
DT | $ = -4.17736
NNP | $ = -3.92544
CD | $ = -0.522246
NN | $ = -4.45554
`` | $ = -5.74389
'' | $ = -5.6953
POS | $ = -5.50082
( | $ = -5.60074
VBN | $ = -5.0467
NNS | $ = -5.26389
VBP | $ = -5.783
, | $ = -2.85007
CC | $ = -2.96549
) | $ = -5.35966
VBD | $ = -5.18054
RB | $ = -4.05337
TO | $ = -4.6298
. | $ = -5.09383
VBZ | $ = -5.90575
NNPS | $ = -6.85856
PRP | $ = -7.5345
PRP$ | $ = -4.96281
VB | $ = -15.7549
JJ | $ = -3.63085
MD | $ = -6.08739
VBG | $ = -5.20805
RBR | $ = -5.68938
: | $ = -5.84017
WP | $ = -7.89701
WDT | $ = -8.4351
JJR | $ = -4.92958
PDT | $ = -6.91558
RBS | $ = -7.39904
WRB | $ = -6.88106
JJS | $ = -5.52152
$ | $ = -7.20251
RP | $ = -7.51221
FW | $ = -8.18226
EX | $ = -8.63858
SYM | $ = -9.01608
# | $ = -9.02025
LS | $ = -9.03242
UH | $ = -8.80613
WP$ | $ = -7.84007
IN | RP = -3.07129
DT | RP = -3.64434
NNP | RP = -3.47846
CD | RP = -3.65707
NN | RP = -3.20236
`` | RP = -3.73315
'' | RP = -3.76045
POS | RP = -4.50627
( | RP = -4.27116
VBN | RP = -3.47105
NNS | RP = -3.28811
VBP | RP = -3.77718
, | RP = -3.37966
CC | RP = -3.44923
) | RP = -4.27295
VBD | RP = -3.75126
RB | RP = -3.3339
TO | RP = -3.35536
. | RP = -3.67138
VBZ | RP = -3.75921
NNPS | RP = -4.13466
PRP | RP = -3.73274
PRP$ | RP = -4.14191
VB | RP = -4.53395
JJ | RP = -3.44774
MD | RP = -3.75305
VBG | RP = -3.51083
RBR | RP = -3.93079
: | RP = -3.88141
WP | RP = -4.00332
WDT | RP = -4.0171
JJR | RP = -3.89173
PDT | RP = -4.41598
RBS | RP = -4.373
WRB | RP = -3.88771
JJS | RP = -4.04179
$ | RP = -3.9029
RP | RP = -3.86032
FW | RP = -4.54613
EX | RP = -4.241
SYM | RP = -4.68921
# | RP = -4.62169
LS | RP = -4.67894
UH | RP = -4.65225
WP$ | RP = -4.54414
IN | FW = -3.88463
DT | FW = -3.7081
NNP | FW = -3.71957
CD | FW = -3.54044
NN | FW = -3.80486
`` | FW = -3.92427
'' | FW = -3.96507
POS | FW = -3.52168
( | FW = -3.73476
VBN | FW = -3.93938
NNS | FW = -3.91047
VBP | FW = -3.78887
, | FW = -3.84843
CC | FW = -3.81509
) | FW = -3.72538
VBD | FW = -3.74829
RB | FW = -3.97522
TO | FW = -3.99547
. | FW = -4.08434
VBZ | FW = -3.77797
NNPS | FW = -3.75017
PRP | FW = -4.10325
PRP$ | FW = -3.62472
VB | FW = -4.23943
JJ | FW = -3.72184
MD | FW = -3.82076
VBG | FW = -3.84836
RBR | FW = -3.91936
: | FW = -3.86072
WP | FW = -4.06543
WDT | FW = -4.04545
JJR | FW = -3.80655
PDT | FW = -3.76939
RBS | FW = -3.89632
WRB | FW = -4.04166
JJS | FW = -3.76633
$ | FW = -3.79531
RP | FW = -4.05907
FW | FW = -3.82082
EX | FW = -4.02134
SYM | FW = -3.86997
# | FW = -3.8691
LS | FW = -3.87192
UH | FW = -3.87333
WP$ | FW = -3.81036
IN | EX = -3.69633
DT | EX = -3.8179
NNP | EX = -3.68697
CD | EX = -3.68186
NN | EX = -3.72307
`` | EX = -3.80097
'' | EX = -3.79708
POS | EX = -3.87719
( | EX = -3.84908
VBN | EX = -3.79259
NNS | EX = -3.76851
VBP | EX = -3.82278
, | EX = -3.66119
CC | EX = -3.70803
) | EX = -3.84143
VBD | EX = -3.78187
RB | EX = -3.73949
TO | EX = -3.80785
. | EX = -3.7074
VBZ | EX = -3.80079
NNPS | EX = -3.84644
PRP | EX = -3.82871
PRP$ | EX = -3.95061
VB | EX = -4.03165
JJ | EX = -3.78189
MD | EX = -3.81653
VBG | EX = -3.79584
RBR | EX = -3.89019
: | EX = -3.83241
WP | EX = -3.87748
WDT | EX = -3.8721
JJR | EX = -3.85722
PDT | EX = -3.95123
RBS | EX = -3.96328
WRB | EX = -3.89055
JJS | EX = -3.88945
$ | EX = -3.87658
RP | EX = -3.94289
FW | EX = -3.96778
EX | EX = -3.92551
SYM | EX = -4.01306
# | EX = -4.00064
LS | EX = -4.01473
UH | EX = -3.99633
WP$ | EX = -3.99101
IN | SYM = -3.31879
DT | SYM = -3.46751
NNP | SYM = -3.54472
CD | SYM = -3.64694
NN | SYM = -3.5832
`` | SYM = -3.70872
'' | SYM = -3.67756
POS | SYM = -3.85361
( | SYM = -3.90554
VBN | SYM = -3.61657
NNS | SYM = -3.86755
VBP | SYM = -3.91648
, | SYM = -3.40504
CC | SYM = -3.49101
) | SYM = -3.90961
VBD | SYM = -3.8357
RB | SYM = -3.58346
TO | SYM = -3.60131
. | SYM = -3.59564
VBZ | SYM = -3.83761
NNPS | SYM = -4.01892
PRP | SYM = -3.90513
PRP$ | SYM = -3.84577
VB | SYM = -4.78404
JJ | SYM = -3.5564
MD | SYM = -3.90511
VBG | SYM = -3.77128
RBR | SYM = -3.8561
: | SYM = -3.80406
WP | SYM = -3.99092
WDT | SYM = -4.02997
JJR | SYM = -3.8212
PDT | SYM = -4.05368
RBS | SYM = -4.06448
WRB | SYM = -3.93228
JJS | SYM = -3.91188
$ | SYM = -4.03802
RP | SYM = -4.00137
FW | SYM = -4.20538
EX | SYM = -4.09894
SYM | SYM = -4.29488
# | SYM = -4.26081
LS | SYM = -4.2721
UH | SYM = -4.2598
WP$ | SYM = -4.15674
IN | # = -2.65574
DT | # = -3.09182
NNP | # = -3.17914
CD | # = -2.67914
NN | # = -3.10307
`` | # = -3.94283
'' | # = -4.0096
POS | # = -3.97043
( | # = -4.18585
VBN | # = -3.58333
NNS | # = -3.60118
VBP | # = -3.88962
, | # = -3.09413
CC | # = -3.11125
) | # = -4.15424
VBD | # = -3.71986
RB | # = -3.41819
TO | # = -3.46519
. | # = -4.1172
VBZ | # = -3.8404
NNPS | # = -4.33811
PRP | # = -4.56704
PRP$ | # = -3.61071
VB | # = -6.96504
JJ | # = -2.995
MD | # = -3.95448
VBG | # = -3.58535
RBR | # = -4.08382
: | # = -4.00829
WP | # = -4.79953
WDT | # = -4.88719
JJR | # = -3.78698
PDT | # = -4.50441
RBS | # = -4.73224
WRB | # = -4.45788
JJS | # = -3.95622
$ | # = -4.20707
RP | # = -4.51265
FW | # = -4.96561
EX | # = -5.05358
SYM | # = -5.28881
# | # = -5.2193
LS | # = -5.26871
UH | # = -5.23316
WP$ | # = -4.84149
IN | LS = -4.22148
DT | LS = -4.02788
NNP | LS = -4.14288
CD | LS = -4.16627
NN | LS = -4.1788
`` | LS = -3.93315
'' | LS = -3.91226
POS | LS = -3.78351
( | LS = -3.8102
VBN | LS = -4.0084
NNS | LS = -4.12209
VBP | LS = -3.96547
, | LS = -4.13122
CC | LS = -4.10132
) | LS = -3.81714
VBD | LS = -4.00913
RB | LS = -4.08634
TO | LS = -4.0357
. | LS = -3.94105
VBZ | LS = -3.98791
NNPS | LS = -3.85182
PRP | LS = -3.86732
PRP$ | LS = -3.84271
VB | LS = -3.47621
JJ | LS = -4.07994
MD | LS = -3.96826
VBG | LS = -4.04314
RBR | LS = -3.84474
: | LS = -3.90093
WP | LS = -3.7762
WDT | LS = -3.77843
JJR | LS = -3.90418
PDT | LS = -3.70833
RBS | LS = -3.67389
WRB | LS = -3.81916
JJS | LS = -3.85922
$ | LS = -3.90319
RP | LS = -3.80164
FW | LS = -3.64279
EX | LS = -3.69078
SYM | LS = -3.564
# | LS = -3.59115
LS | LS = -3.56146
UH | LS = -3.57996
WP$ | LS = -3.63388
IN | UH = -3.88262
DT | UH = -4.10611
NNP | UH = -3.9434
CD | UH = -3.89609
NN | UH = -3.94568
`` | UH = -3.83716
'' | UH = -3.80694
POS | UH = -4.1065
( | UH = -3.8951
VBN | UH = -3.85902
NNS | UH = -3.7682
VBP | UH = -3.87578
, | UH = -3.84148
CC | UH = -3.8737
) | UH = -3.88539
VBD | UH = -3.88795
RB | UH = -3.77053
TO | UH = -3.82458
. | UH = -3.63868
VBZ | UH = -3.90917
NNPS | UH = -3.89261
PRP | UH = -3.68767
PRP$ | UH = -4.09824
VB | UH = -3.592
JJ | UH = -4.02915
MD | UH = -3.86379
VBG | UH = -3.87984
RBR | UH = -3.8249
: | UH = -3.86647
WP | UH = -3.70211
WDT | UH = -3.72028
JJR | UH = -3.89259
PDT | UH = -3.92817
RBS | UH = -3.83583
WRB | UH = -3.7295
JJS | UH = -3.92195
$ | UH = -3.90946
RP | UH = -3.76042
FW | UH = -3.86227
EX | UH = -3.74329
SYM | UH = -3.83087
# | UH = -3.84179
LS | UH = -3.84234
UH | UH = -3.82413
WP$ | UH = -3.89194
IN | WP$ = -4.23609
DT | WP$ = -4.14546
NNP | WP$ = -4.14181
CD | WP$ = -4.08781
NN | WP$ = -4.18103
`` | WP$ = -3.93791
'' | WP$ = -3.91453
POS | WP$ = -3.86583
( | WP$ = -3.80979
VBN | WP$ = -4.02711
NNS | WP$ = -4.04803
VBP | WP$ = -3.94375
, | WP$ = -4.11057
CC | WP$ = -4.08999
) | WP$ = -3.80764
VBD | WP$ = -3.98547
RB | WP$ = -4.04989
TO | WP$ = -4.0473
. | WP$ = -3.87445
VBZ | WP$ = -3.98382
NNPS | WP$ = -3.83618
PRP | WP$ = -3.81831
PRP$ | WP$ = -3.94593
VB | WP$ = -3.38741
JJ | WP$ = -4.13079
MD | WP$ = -3.94415
VBG | WP$ = -4.02841
RBR | WP$ = -3.8546
: | WP$ = -3.90773
WP | WP$ = -3.74379
WDT | WP$ = -3.74377
JJR | WP$ = -3.91398
PDT | WP$ = -3.74221
RBS | WP$ = -3.69613
WRB | WP$ = -3.80201
JJS | WP$ = -3.87794
$ | WP$ = -3.90023
RP | WP$ = -3.80353
FW | WP$ = -3.64863
EX | WP$ = -3.67394
SYM | WP$ = -3.57429
# | WP$ = -3.60603
LS | WP$ = -3.58099
UH | WP$ = -3.58672
WP$ | WP$ = -3.67083
Current epoch = 4
IN | IN = -3.5629
DT | IN = -5.18407
NNP | IN = -2.03578
CD | IN = -4.07506
NN | IN = -1.04537
`` | IN = -5.93119
'' | IN = -6.90544
POS | IN = -8.1178
( | IN = -7.82487
VBN | IN = -5.16228
NNS | IN = -1.48762
VBP | IN = -4.02441
, | IN = -4.2376
CC | IN = -4.71114
) | IN = -7.80889
VBD | IN = -3.50483
RB | IN = -4.53935
TO | IN = -5.40171
. | IN = -6.92568
VBZ | IN = -3.47681
NNPS | IN = -5.02283
PRP | IN = -5.70523
PRP$ | IN = -7.84132
VB | IN = -4.90342
JJ | IN = -4.3078
MD | IN = -3.81265
VBG | IN = -3.50943
RBR | IN = -8.19394
: | IN = -6.1435
WP | IN = -7.51125
WDT | IN = -6.48884
JJR | IN = -6.70199
PDT | IN = -8.94934
RBS | IN = -10.1448
WRB | IN = -7.84123
JJS | IN = -6.88233
$ | IN = -3.88959
RP | IN = -7.77653
FW | IN = -8.7843
EX | IN = -8.5435
SYM | IN = -10.1442
# | IN = -9.26612
LS | IN = -10.2204
UH | IN = -9.96975
WP$ | IN = -9.68383
IN | DT = -1.235
DT | DT = -3.29615
NNP | DT = -3.5417
CD | DT = -3.38901
NN | DT = -2.55329
`` | DT = -4.55219
'' | DT = -4.6111
POS | DT = -7.0472
( | DT = -6.17898
VBN | DT = -3.42983
NNS | DT = -3.04148
VBP | DT = -4.8398
, | DT = -2.73428
CC | DT = -2.92484
) | DT = -6.19019
VBD | DT = -4.61519
RB | DT = -2.693
TO | DT = -2.76482
. | DT = -4.41602
VBZ | DT = -4.85058
NNPS | DT = -6.41915
PRP | DT = -5.07541
PRP$ | DT = -5.52843
VB | DT = -10.5237
JJ | DT = -3.12268
MD | DT = -4.80682
VBG | DT = -3.72317
RBR | DT = -4.83175
: | DT = -5.01954
WP | DT = -6.1098
WDT | DT = -6.4086
JJR | DT = -4.69449
PDT | DT = -6.9659
RBS | DT = -6.67394
WRB | DT = -5.33608
JJS | DT = -5.345
$ | DT = -5.43202
RP | DT = -5.51099
FW | DT = -7.79845
EX | DT = -7.12843
SYM | DT = -8.56738
# | DT = -8.29336
LS | DT = -8.49864
UH | DT = -8.37847
WP$ | DT = -7.61307
IN | NNP = -3.20912
DT | NNP = -2.4073
NNP | NNP = -0.79368
CD | NNP = -3.89223
NN | NNP = -2.78068
`` | NNP = -5.4119
'' | NNP = -5.50453
POS | NNP = -3.1329
( | NNP = -5.72698
VBN | NNP = -5.68637
NNS | NNP = -6.94163
VBP | NNP = -6.36352
, | NNP = -1.8001
CC | NNP = -3.2561
) | NNP = -5.76524
VBD | NNP = -4.75982
RB | NNP = -5.77432
TO | NNP = -7.20296
. | NNP = -4.7982
VBZ | NNP = -4.68611
NNPS | NNP = -5.65882
PRP | NNP = -8.07686
PRP$ | NNP = -7.44917
VB | NNP = -16.0189
